,punt,fg
0,0.0,0.9880024234571573
1,0.0,0.9873582969418607
2,0.0,0.9859996346366934
3,0.0,0.9839264365416552
4,0.0,0.9811387026567464
5,0.0,0.9776364329819667
6,0.0,0.9734196275173164
7,0.0,0.9684882862627952
8,0.0,0.9628424092184033
9,0.0,0.9564819963841406
10,0.0,0.949407047759996
11,0.0,0.9410373760319382
12,0.0,0.933709573966458
13,0.0,0.9242918018241784
14,0.0,0.9160736585055664
15,0.0,0.9070540399777569
16,0.0,0.891108357493764
17,0.0,0.8820781346992077
18,0.0,0.8696550071337212
19,0.0,0.8609292279344083
20,0.0,0.8471279889101656
21,0.0,0.8338490830565072
22,0.0,0.8178289032356776
23,0.0,0.8099970144249466
24,0.0,0.7937607440260601
25,0.0,0.7858338742410094
26,0.0,0.7725555381907236
27,0.0,0.7527067519019308
28,0.0,0.743333018158853
29,21.0,0.7341932622389497
30,26.5,0.7148907121788288
31,22.4,0.6969581710427042
32,24.88888888888889,0.6817352550961512
33,24.429193899782135,0.6677237286220268
34,26.46545454545455,0.6385562501494599
35,28.542857142857144,0.5953816976748743
36,27.91130152848541,0.5832711814310051
37,29.436291370480774,0.5631418840888681
38,30.610798122065727,0.53097528241268
39,30.971176377314613,0.49281300498598246
40,31.211294924818056,0.44439120284233247
41,32.243573667711594,0.39561270428627504
42,33.320163865117436,0.34376729628109676
43,33.58655041028643,0.2943323817694823
44,34.50034435261708,0.23839376778966836
45,35.02321112406616,0.19436513631872315
46,35.61324863883848,0.1481510557208095
47,36.076719981633126,0.10367734882594475
48,37.68129325782876,0.07805278133720628
49,37.21049030029232,0.04877408421242371
50,38.40101311953353,0.019996065828036803
51,39.26357466063348,0.0018571272902753455
52,38.96897341449184,0.0
53,39.13529143897996,0.0
54,39.98149669335189,0.0
55,39.85393495393495,0.0
56,40.836193457466045,0.0
57,40.95232506967874,0.0
58,41.29328334204495,0.0
59,42.23055255008767,0.0
60,42.76913759890205,0.0
61,41.988013241988135,0.0
62,41.49182144020853,0.0
63,41.10843769396473,0.0
64,40.9212056199051,0.0
65,42.445724175376675,0.0
66,41.87753866088279,0.0
67,42.80360309001928,0.0
68,42.0337023657926,0.0
69,42.16289637459251,0.0
70,41.957361487795424,0.0
71,41.3757902670112,0.0
72,42.284343423176416,0.0
73,42.01238879736408,0.0
74,42.01292618353567,0.0
75,41.69901089601185,0.0
76,41.45657142857143,0.0
77,42.180161433448426,0.0
78,42.08737162263533,0.0
79,42.38751826002272,0.0
80,42.82375855805505,0.0
81,42.721235546107515,0.0
82,41.87293144208037,0.0
83,41.513856352057196,0.0
84,42.88216312056738,0.0
85,42.68820695433599,0.0
86,42.44019386410691,0.0
87,43.09244203553146,0.0
88,41.92926490984744,0.0
89,42.57208165397821,0.0
90,42.77272727272727,0.0
91,42.62045700778095,0.0
92,42.6332425892317,0.0
93,40.905841269841275,0.0
94,41.660869565217396,0.0
95,41.84690220174091,0.0
96,40.98076923076923,0.0
97,39.99032258064516,0.0
98,39.88888888888889,0.0
